ענף,תחרות,קבוצה/אירוע,כמה משחקים/ימים,מה חסר,עיר נוכחית,מדינה,אצטדיון נוכחי,ההצעה שלי,רמת ביטחון בהצעה,תיקון שלך: אצטדיון,תיקון שלך: עיר,"תיקון שלך: קואורדינטות lat,lng",הערה
כדורגל,גביע ה-FA,בראקלי טאון,1,אצטדיון חסר,"בראקלי, נורת'המפטונשייר",England,,,,,,,
כדורגל,גביע ה-FA,ברטון טאון אולד בויז,1,אצטדיון חסר,"ברטון-אפון-האמבר, לינקולנשייר",England,,,,,,,
כדורגל,גביע ה-FA,ברי,1,אצטדיון חסר,"ברי, לנקשייר",England,,,,,,,
כדורגל,גביע ה-FA,ברי טאון,1,אצטדיון חסר,"ברי סנט אדמונדס, סאפוק",England,,,,,,,
כדורגל,גביע ה-FA,ברנטווד טאון,1,אצטדיון חסר,"ברנטווד, אסקס",England,,,,,,,
כדורגל,גביע ה-FA,גייזלי AFC,1,אצטדיון חסר,"גייזלי, וסט יורקשייר",England,,,,,,,
כדורגל,גביע ה-FA,גיינסבורו טריניטי,1,אצטדיון חסר,"גיינסבורו, לינקולנשייר",England,,,,,,,
כדורגל,גביע ה-FA,דורקינג וונדררס,1,אצטדיון חסר,"דורקינג, סארי",England,,,,,,,
כדורגל,גביע ה-FA,האנוול טאון,1,אצטדיון חסר,לונדון,England,,,,,,,
כדורגל,גביע ה-FA,הארבורו טאון,1,אצטדיון חסר,"מארקט הארבורו, לסטרשייר",England,,,,,,,
כדורגל,גביע ה-FA,ווימות',1,אצטדיון חסר,"ווימות', דורסט",England,,,,,,,
כדורגל,גביע ה-FA,וורקסופ טאון,1,אצטדיון חסר,"וורקסופ, נוטינגהאמשייר",England,,,,,,,
כדורגל,גביע ה-FA,טאדלי קאלבה,1,אצטדיון חסר,"טאדלי, המפשייר",England,,,,,,,
כדורגל,גביע ה-FA,טונברידג' אנג'לס,1,אצטדיון חסר,"טונברידג', קנט",England,,,,,,,
כדורגל,גביע ה-FA,טראפורד,1,אצטדיון חסר,"פליקסטון, גרייטר מנצ'סטר",England,,,,,,,
כדורגל,גביע ה-FA,טרורו סיטי,1,אצטדיון חסר,"טרורו, קורנוול",England,,,,,,,
כדורגל,גביע ה-FA,ליסטון,1,אצטדיון חסר,"ליסטון, סאפוק",England,,,,,,,
כדורגל,גביע ה-FA,לת'רהד,1,אצטדיון חסר,"לת'רהד, סארי",England,,,,,,,
כדורגל,גביע ה-FA,מארין,1,אצטדיון חסר,"קרוסבי, מרסיסייד",England,,,,,,,
כדורגל,גביע ה-FA,מולברטון וונדררס,1,אצטדיון חסר,"מולברטון, נורפוק",England,,,,,,,
כדורגל,גביע ה-FA,מורקאם,1,אצטדיון חסר,"מורקאם, לנקשייר",England,,,,,,,
כדורגל,גביע ה-FA,מקלספילד,1,אצטדיון חסר,"מקלספילד, צ'שייר",England,,,,,,,
כדורגל,גביע ה-FA,סולסברי,1,אצטדיון חסר,"סולסברי, ווילטשייר",England,,,,,,,
כדורגל,גביע ה-FA,סטאפורד ריינג'רס,1,אצטדיון חסר,"סטאפורד, סטאפורדשייר",England,,,,,,,
כדורגל,גביע ה-FA,ספנימור טאון,1,אצטדיון חסר,"ספנימור, קאונטי דרהאם",England,,,,,,,
כדורגל,גביע ה-FA,פלימות' פארקוויי,1,אצטדיון חסר,"פלימות', דבון",England,,,,,,,
כדורגל,גביע ה-FA,צ'שהאם יונייטד,1,אצטדיון חסר,"צ'שהאם, בקינגהאמשייר",England,,,,,,,
כדורגל,גביע ה-FA,קטרינג טאון,1,אצטדיון חסר,"קטרינג, נורת'המפטונשייר",England,,,,,,,
כדורגל,גביע ה-FA,קיימברידג' סיטי,1,אצטדיון חסר,"סוסטון, קיימברידג'שייר",England,,,,,,,
כדורגל,גביע ה-FA,קראוובורו אתלטיק,1,אצטדיון חסר,"קראוובורו, איסט סאסקס",England,,,,,,,
כדורגל,גביע ה-FA,קריי וונדררס,1,אצטדיון חסר,לונדון,England,,,,,,,
כדורגל,גביע ה-FA,ראשדן אנד דיאמונדס,1,אצטדיון חסר,"ראשדן, נורת'המפטונשייר",England,,,,,,,
כדורגל,גביע ה-FA,רדיץ' יונייטד,1,אצטדיון חסר,"רדיץ', וורצ'סטרשייר",England,,,,,,,
כדורגל,גביע ה-FA,שפי יונייטד,1,אצטדיון חסר,שירנס,England,,,,,,,
כדורגל,גביע פולין,אביה שווידניק,1,אצטדיון חסר,שווידניק,Poland,,,,,,,
כדורגל,גביע פולין,אולימפיה גרודזיונדז,1,אצטדיון חסר,גרודזיונדז,Poland,,,,,,,
כדורגל,גביע פולין,גורניק לנצ'נה,1,אצטדיון חסר,לנצ'נה,Poland,,,,,,,
כדורגל,גביע פולין,סוקול קלצ'ב,1,אצטדיון חסר,קלצ'ב,Poland,,,,,,,
כדורגל,גביע פולין,סיארקה טרנוברז'ג,1,אצטדיון חסר,טרנוברז'ג,Poland,,,,,,,
כדורגל,גביע פולין,פולוניה שרודה,1,אצטדיון חסר,שרודה וילקופולסקה,Poland,,,,,,,
כדורגל,גביע פולין,פושצ'ה ניפולומיצה,1,אצטדיון חסר,ניפולומיצה,Poland,,,,,,,
כדורגל,גביע פורטוגל,קמאשה,1,אצטדיון חסר,קמאשה (מדיירה),Portugal,,,,,,,
כדורגל,הארדיביזי,PEC זוואלה,6,אצטדיון חסר,זוואלה,Netherlands,,,,,,,
כדורגל,הצ'מפיונשיפ,בירמינגהם,4,אצטדיון חסר,ברמינגהאם,England,,,,,,,
כדורגל,הצ'מפיונשיפ,סאות'המפטון,3,אצטדיון חסר,סאות'המפטון,England,,,,,,,
כדורגל,לה ליגה,אלצ'ה,5,אצטדיון חסר,אלצ'ה,Spain,,,,,,,
כדורגל,לה ליגה,אתלטיק בילבאו,6,אצטדיון חסר,בילבאו,Spain,,,,,,,
כדורגל,לה ליגה,לבאנטה,6,אצטדיון חסר,ולנסיה,Spain,,,,,,,
כדורגל,לה ליגה,סביליה,6,אצטדיון חסר,סביליה,Spain,,,,,,,
כדורגל,ליג 2 הצרפתית,בולון,5,אצטדיון חסר,בולון סור מר,France,,,,,,,
כדורגל,ליג 2 הצרפתית,דיז'ון,6,אצטדיון חסר,דיז'ון,France,,,,,,,
כדורגל,ליגת האלופות,ספורטינג ליסבון,9,אצטדיון חסר,ליסבון,Portugal,,,,,,,
כדורגל,ליגת הקונפרנס,קאונו ז'לגיריס,1,אצטדיון חסר,קאונס,Lithuania,,,,,,,
כדורגל,סגונדה דיביזיון,אלמריה,8,אצטדיון חסר,אלמריה,Spain,,,,,,,
כדורגל,סגונדה דיביזיון,ספורטינג חיחון,7,אצטדיון חסר,חיחון,Spain,,,,,,,
כדורגל,סגונדה דיביזיון,קורדובה,8,אצטדיון חסר,קורדובה,Spain,,,,,,,
כדורגל,סרייה A,בולוניה,7,אצטדיון חסר,בולוניה,Italy,,,,,,,
כדורגל,סרייה A,מונצה,8,אצטדיון חסר,מונצה,Italy,,,,,,,
כדורגל,סרייה A,סאסואולו,8,אצטדיון חסר,רג'ו אמיליה,Italy,,,,,,,
כדורגל,סרייה B,הלאס ורונה,8,אצטדיון חסר,ורונה,Italy,,,,,,,
כדורגל,פרימיירה ליגה,אקדמיקו ויזאו,6,אצטדיון חסר,ויזאו,Portugal,,,,,,,
כדורגל,פרימיירה ליגה,ארוקה,6,אצטדיון חסר,ארוקה,Portugal,,,,,,,
כדורגל,פרימיירה ליגה,אשטרלה,5,אצטדיון חסר,אמדורה,Portugal,,,,,,,
כדורגל,פרימיירה ליגה,בראגה,9,אצטדיון חסר,בראגה,Portugal,,,,,,,
כדורגל,פרימיירה ליגה,ויטוריה גימראש,5,אצטדיון חסר,גימראש,Portugal,,,,,,,
כדורגל,פרימיירה ליגה,ז'יל וינסנטה,5,אצטדיון חסר,ברסלוס,Portugal,,,,,,,
כדורגל,פרימיירה ליגה,מריטימו,5,אצטדיון חסר,פונשל,Portugal,,,,,,,
כדורגל,פרימיירה ליגה,נשיונל,6,אצטדיון חסר,פונשל,Portugal,,,,,,,
כדורגל,פרימיירה ליגה,סנטה קלרה,5,אצטדיון חסר,פונטה דלגדה,Portugal,,,,,,,
כדורגל,פרימיירה ליגה,קאזה פיה,6,אצטדיון חסר,ריו מאיור,Portugal,,,,,,,
כדורגל,פרימיירה ליגה,ריו אאבה,7,אצטדיון חסר,וילה דו קונדה,Portugal,,,,,,,
